Município,codmun,UF,idsus_fx,Grupo Homogêneo
Alta Floresta D'Oeste,110001,RO,"4 a 4,9",GH3
Ariquemes,110002,RO,"4 a 4,9",GH3
Cabixi,110003,RO,"4 a 4,9",GH5
Cacoal,110004,RO,"4 a 4,9",GH3
Cerejeiras,110005,RO,"4 a 4,9",GH5
Colorado do Oeste,110006,RO,"2,5 a 3,9",GH3
Corumbiara,110007,RO,"4 a 4,9",GH5
Costa Marques,110008,RO,"2,5 a 3,9",GH6
Espigão D'Oeste,110009,RO,"2,5 a 3,9",GH5
Guajará-Mirim,110010,RO,"2,5 a 3,9",GH4
Jaru,110011,RO,"4 a 4,9",GH3
Ji-Paraná,110012,RO,"2,5 a 3,9",GH3
Machadinho D'Oeste,110013,RO,"2,5 a 3,9",GH4
Nova Brasilândia D'Oeste,110014,RO,"4 a 4,9",GH6
Ouro Preto do Oeste,110015,RO,"2,5 a 3,9",GH4
Pimenta Bueno,110018,RO,"4 a 4,9",GH3
Porto Velho,110020,RO,"5 a 5,9",GH2
Presidente Médici,110025,RO,"5 a 5,9",GH4
Rio Crespo,110026,RO,"2,5 a 3,9",GH5
Rolim de Moura,110028,RO,"4 a 4,9",GH3
Santa Luzia D'Oeste,110029,RO,"4 a 4,9",GH5
Vilhena,110030,RO,"2,5 a 3,9",GH3
São Miguel do Guaporé,110032,RO,"4 a 4,9",GH5
Nova Mamoré,110033,RO,"2,5 a 3,9",GH6
Alvorada D'Oeste,110034,RO,"4 a 4,9",GH6
Alto Alegre dos Parecis,110037,RO,"4 a 4,9",GH5
Alto Paraíso,110040,RO,"2,5 a 3,9",GH6
Buritis,110045,RO,"2,5 a 3,9",GH6
Novo Horizonte do Oeste,110050,RO,"4 a 4,9",GH5
Cacaulândia,110060,RO,"4 a 4,9",GH5
Campo Novo de Rondônia,110070,RO,"2,5 a 3,9",GH6
Candeias do Jamari,110080,RO,"5 a 5,9",GH5
Castanheiras,110090,RO,"4 a 4,9",GH5
Chupinguaia,110092,RO,"2,5 a 3,9",GH5
Cujubim,110094,RO,"2,5 a 3,9",GH5
Governador Jorge Teixeira,110100,RO,"4 a 4,9",GH6
Itapuã do Oeste,110110,RO,"4 a 4,9",GH6
Ministro Andreazza,110120,RO,"4 a 4,9",GH6
Mirante da Serra,110130,RO,"4 a 4,9",GH6
Monte Negro,110140,RO,"4 a 4,9",GH4
Nova União,110143,RO,"4 a 4,9",GH6
Parecis,110145,RO,"4 a 4,9",GH5
Pimenteiras do Oeste,110146,RO,"4 a 4,9",GH5
Primavera de Rondônia,110147,RO,"4 a 4,9",GH5
São Felipe D'Oeste,110148,RO,"4 a 4,9",GH6
São Francisco do Guaporé,110149,RO,"4 a 4,9",GH6
Seringueiras,110150,RO,"4 a 4,9",GH6
Teixeirópolis,110155,RO,"5 a 5,9",GH5
Theobroma,110160,RO,"4 a 4,9",GH5
Urupá,110170,RO,"4 a 4,9",GH6
Vale do Anari,110175,RO,"4 a 4,9",GH5
Vale do Paraíso,110180,RO,"4 a 4,9",GH6
Acrelândia,120001,AC,"5 a 5,9",GH5
Assis Brasil,120005,AC,"5 a 5,9",GH6
Brasiléia,120010,AC,"5 a 5,9",GH4
Bujari,120013,AC,"5 a 5,9",GH5
Capixaba,120017,AC,"5 a 5,9",GH6
Cruzeiro do Sul,120020,AC,"5 a 5,9",GH4
Epitaciolândia,120025,AC,"5 a 5,9",GH6
Feijó,120030,AC,"4 a 4,9",GH6
Jordão,120032,AC,"5 a 5,9",GH6
Mâncio Lima,120033,AC,"5 a 5,9",GH6
Manoel Urbano,120034,AC,"5 a 5,9",GH6
Marechal Thaumaturgo,120035,AC,"4 a 4,9",GH5
Plácido de Castro,120038,AC,"6 a 6,9",GH5
Porto Walter,120039,AC,"4 a 4,9",GH6
Rio Branco,120040,AC,"5 a 5,9",GH2
Rodrigues Alves,120042,AC,"4 a 4,9",GH5
Santa Rosa do Purus,120043,AC,"5 a 5,9",GH6
Senador Guiomard,120045,AC,"5 a 5,9",GH6
Sena Madureira,120050,AC,"5 a 5,9",GH4
Tarauacá,120060,AC,"5 a 5,9",GH4
Xapuri,120070,AC,"5 a 5,9",GH5
Porto Acre,120080,AC,"5 a 5,9",GH5
Alvarães,130002,AM,"4 a 4,9",GH6
Amaturá,130006,AM,"4 a 4,9",GH6
Anamã,130008,AM,"4 a 4,9",GH6
Anori,130010,AM,"4 a 4,9",GH6
Apuí,130014,AM,"4 a 4,9",GH6
Atalaia do Norte,130020,AM,"2,5 a 3,9",GH6
Autazes,130030,AM,"5 a 5,9",GH4
Barcelos,130040,AM,"2,5 a 3,9",GH6
Barreirinha,130050,AM,"2,5 a 3,9",GH6
Benjamin Constant,130060,AM,"2,5 a 3,9",GH6
Beruri,130063,AM,"2,5 a 3,9",GH6
Boa Vista do Ramos,130068,AM,"4 a 4,9",GH6
Boca do Acre,130070,AM,"4 a 4,9",GH6
Borba,130080,AM,"4 a 4,9",GH6
Caapiranga,130083,AM,"4 a 4,9",GH6
Canutama,130090,AM,"2,5 a 3,9",GH6
Carauari,130100,AM,"2,5 a 3,9",GH6
Careiro,130110,AM,"4 a 4,9",GH6
Careiro da Várzea,130115,AM,"4 a 4,9",GH6
Coari,130120,AM,"4 a 4,9",GH4
Codajás,130130,AM,"4 a 4,9",GH6
Eirunepé,130140,AM,"4 a 4,9",GH6
Envira,130150,AM,"4 a 4,9",GH6
Fonte Boa,130160,AM,"4 a 4,9",GH4
Guajará,130165,AM,"5 a 5,9",GH6
Humaitá,130170,AM,"4 a 4,9",GH4
Ipixuna,130180,AM,"4 a 4,9",GH6
Iranduba,130185,AM,"5 a 5,9",GH4
Itacoatiara,130190,AM,"5 a 5,9",GH4
Itamarati,130195,AM,"2,5 a 3,9",GH6
Itapiranga,130200,AM,"5 a 5,9",GH6
Japurá,130210,AM,"4 a 4,9",GH6
Juruá,130220,AM,"2,5 a 3,9",GH6
Jutaí,130230,AM,"2,5 a 3,9",GH6
Lábrea,130240,AM,"4 a 4,9",GH6
Manacapuru,130250,AM,"4 a 4,9",GH4
Manaquiri,130255,AM,"2,5 a 3,9",GH6
Manaus,130260,AM,"5 a 5,9",GH1
Manicoré,130270,AM,"4 a 4,9",GH4
Maraã,130280,AM,"2,5 a 3,9",GH6
Maués,130290,AM,"4 a 4,9",GH4
Nhamundá,130300,AM,"4 a 4,9",GH6
Nova Olinda do Norte,130310,AM,"4 a 4,9",GH4
Novo Airão,130320,AM,"2,5 a 3,9",GH6
Novo Aripuanã,130330,AM,"4 a 4,9",GH6
Parintins,130340,AM,"4 a 4,9",GH4
Pauini,130350,AM,"2,5 a 3,9",GH6
Presidente Figueiredo,130353,AM,"4 a 4,9",GH3
Rio Preto da Eva,130356,AM,"5 a 5,9",GH6
Santa Isabel do Rio Negro,130360,AM,"4 a 4,9",GH6
Santo Antônio do Içá,130370,AM,"2,5 a 3,9",GH6
São Gabriel da Cachoeira,130380,AM,"4 a 4,9",GH6
São Paulo de Olivença,130390,AM,"2,5 a 3,9",GH6
São Sebastião do Uatumã,130395,AM,"4 a 4,9",GH6
Silves,130400,AM,"4 a 4,9",GH6
Tabatinga,130406,AM,"4 a 4,9",GH4
Tapauá,130410,AM,"4 a 4,9",GH6
Tefé,130420,AM,"5 a 5,9",GH4
Tonantins,130423,AM,"4 a 4,9",GH6
Uarini,130426,AM,"4 a 4,9",GH6
Urucará,130430,AM,"5 a 5,9",GH6
Urucurituba,130440,AM,"4 a 4,9",GH6
Amajari,140002,RR,"5 a 5,9",GH6
Alto Alegre,140005,RR,"5 a 5,9",GH6
Boa Vista,140010,RR,"5 a 5,9",GH2
Bonfim,140015,RR,"5 a 5,9",GH6
Cantá,140017,RR,"5 a 5,9",GH6
Caracaraí,140020,RR,"5 a 5,9",GH6
Caroebe,140023,RR,"5 a 5,9",GH6
Iracema,140028,RR,"5 a 5,9",GH6
Mucajaí,140030,RR,"5 a 5,9",GH6
Normandia,140040,RR,"5 a 5,9",GH6
Pacaraima,140045,RR,"5 a 5,9",GH6
Rorainópolis,140047,RR,"4 a 4,9",GH6
São João da Baliza,140050,RR,"5 a 5,9",GH6
São Luiz,140060,RR,"5 a 5,9",GH6
Uiramutã,140070,RR,"5 a 5,9",GH6
Abaetetuba,150010,PA,"2,5 a 3,9",GH4
Abel Figueiredo,150013,PA,"5 a 5,9",GH6
Acará,150020,PA,"2,5 a 3,9",GH4
Afuá,150030,PA,"2,5 a 3,9",GH6
Água Azul do Norte,150034,PA,"2,5 a 3,9",GH4
Alenquer,150040,PA,"4 a 4,9",GH4
Almeirim,150050,PA,"2,5 a 3,9",GH4
Altamira,150060,PA,"4 a 4,9",GH4
Anajás,150070,PA,"4 a 4,9",GH6
Ananindeua,150080,PA,"4 a 4,9",GH2
Anapu,150085,PA,"4 a 4,9",GH6
Augusto Corrêa,150090,PA,"5 a 5,9",GH4
Aurora do Pará,150095,PA,"2,5 a 3,9",GH6
Aveiro,150100,PA,"2,5 a 3,9",GH6
Bagre,150110,PA,"2,5 a 3,9",GH6
Baião,150120,PA,"2,5 a 3,9",GH4
Bannach,150125,PA,"4 a 4,9",GH6
Barcarena,150130,PA,"4 a 4,9",GH3
Belém,150140,PA,"4 a 4,9",GH1
Belterra,150145,PA,"5 a 5,9",GH6
Benevides,150150,PA,"4 a 4,9",GH3
Bom Jesus do Tocantins,150157,PA,"5 a 5,9",GH6
Bonito,150160,PA,"4 a 4,9",GH6
Bragança,150170,PA,"4 a 4,9",GH4
Brasil Novo,150172,PA,"5 a 5,9",GH4
Brejo Grande do Araguaia,150175,PA,"2,5 a 3,9",GH6
Breu Branco,150178,PA,"2,5 a 3,9",GH6
Breves,150180,PA,"2,5 a 3,9",GH4
Bujaru,150190,PA,"4 a 4,9",GH4
Cachoeira do Piriá,150195,PA,"2,5 a 3,9",GH6
Cachoeira do Arari,150200,PA,"2,5 a 3,9",GH6
Cametá,150210,PA,"2,5 a 3,9",GH4
Canaã dos Carajás,150215,PA,"4 a 4,9",GH5
Capanema,150220,PA,"4 a 4,9",GH4
Capitão Poço,150230,PA,"2,5 a 3,9",GH4
Castanhal,150240,PA,"4 a 4,9",GH4
Chaves,150250,PA,"2,5 a 3,9",GH6
Colares,150260,PA,"4 a 4,9",GH6
Conceição do Araguaia,150270,PA,"5 a 5,9",GH4
Concórdia do Pará,150275,PA,"2,5 a 3,9",GH6
Cumaru do Norte,150276,PA,"4 a 4,9",GH6
Curionópolis,150277,PA,"5 a 5,9",GH4
Curralinho,150280,PA,"2,5 a 3,9",GH6
Curuá,150285,PA,"4 a 4,9",GH6
Curuçá,150290,PA,"4 a 4,9",GH4
Dom Eliseu,150293,PA,"4 a 4,9",GH4
Eldorado dos Carajás,150295,PA,"4 a 4,9",GH4
Faro,150300,PA,"2,5 a 3,9",GH6
Floresta do Araguaia,150304,PA,"4 a 4,9",GH6
Garrafão do Norte,150307,PA,"2,5 a 3,9",GH6
Goianésia do Pará,150309,PA,"4 a 4,9",GH4
Gurupá,150310,PA,"2,5 a 3,9",GH6
Igarapé-Açu,150320,PA,"4 a 4,9",GH4
Igarapé-Miri,150330,PA,"4 a 4,9",GH4
Inhangapi,150340,PA,"4 a 4,9",GH6
Ipixuna do Pará,150345,PA,"2,5 a 3,9",GH4
Irituia,150350,PA,"4 a 4,9",GH4
Itaituba,150360,PA,"2,5 a 3,9",GH4
Itupiranga,150370,PA,"2,5 a 3,9",GH6
Jacareacanga,150375,PA,"2,5 a 3,9",GH6
